time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/clip_fraction,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance,train/loss,train/std,train/learning_rate,train/clip_range,train/n_updates,train/policy_gradient_loss
545,73,39936,39,0.05244140625,-8.410474652051926,0.01821329147205688,0.0071099107,0.8618710041046143,-0.03687107190489769,0.9837128520011902,0.0001,0.2,380,-0.0067295157932676375
547,74,40960,40,0.0521484375,-8.409164369106293,0.016236727160867305,0.006952757,0.8775115609169006,-0.03574874997138977,0.9826948642730713,0.0001,0.2,390,-0.007954790123039856
549,76,41984,41,0.07080078125,-8.40252879858017,0.01920077530085109,0.007235709,0.8605881333351135,-0.05052490159869194,0.9812939763069153,0.0001,0.2,400,-0.009285970963537693
551,77,43008,42,0.0919921875,-8.400171041488647,0.016290482057956978,0.0075149974,0.8733093738555908,-0.033713050186634064,0.9819337725639343,0.0001,0.2,410,-0.012516713069635444
553,79,44032,43,0.0966796875,-8.402909016609192,0.01716356645338237,0.008175971,0.8718394637107849,-0.0468829981982708,0.9821991920471191,0.0001,0.2,420,-0.011350710614351556
552,81,45056,44,0.04609375,-8.4019138276577,0.013584230071865022,0.0061547193,0.8948411345481873,-0.034352533519268036,0.981665849685669,0.0001,0.2,430,-0.006888087728293612
552,83,46080,45,0.09365234375,-8.395334136486053,0.01382098875765223,0.009377213,0.8934915661811829,-0.04893126338720322,0.9797914028167725,0.0001,0.2,440,-0.009326462031458505
554,84,47104,46,0.0927734375,-8.383978021144866,0.015097042312845588,0.0086064525,0.8905297517776489,-0.032794054597616196,0.9779860377311707,0.0001,0.2,450,-0.011691093220724725
556,86,48128,47,0.0767578125,-8.375572967529298,0.01370561053045094,0.008587861,0.8970085978507996,-0.05577017366886139,0.977127730846405,0.0001,0.2,460,-0.008427624008618295
557,88,49152,48,0.03994140625,-8.369248688220978,0.013041196935228072,0.0066932235,0.8985786437988281,-0.04050944373011589,0.975869357585907,0.0001,0.2,470,-0.006365165876923129
559,89,50176,49,0.05400390625,-8.361703586578368,0.011695700185373425,0.007075401,0.9082857370376587,-0.07778985798358917,0.9746435284614563,0.0001,0.2,480,-0.009161111124558374
560,91,51200,50,0.06064453125,-8.352138578891754,0.0119654904701747,0.0066222525,0.9068859815597534,-0.03980565816164017,0.9727782607078552,0.0001,0.2,490,-0.007860302165499888
561,93,52224,51,0.09111328125,-8.342207473516464,0.011414730691467413,0.008901528,0.9100387096405029,-0.04851268231868744,0.9718044400215149,0.0001,0.2,500,-0.011321884306380526
559,95,53248,52,0.031640625,-8.342338234186172,0.01119822055043187,0.005350622,0.908542275428772,-0.04517136514186859,0.9724821448326111,0.0001,0.2,510,-0.0066912473150296135
