time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/clip_fraction,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance,train/loss,train/std,train/learning_rate,train/clip_range,train/n_updates,train/policy_gradient_loss
333,3,1024,1,,,,,,,,,,,
263,7,2048,2,0.04837239583333333,-8.515174086888631,0.023338499129749835,0.0065296455,-0.2375868558883667,-0.003739745356142521,0.9998598694801331,0.0001,0.2,15,-0.008376713758722568
309,9,3072,3,0.03515625,-8.505707955360412,0.03336970552336425,0.005682217,0.06579369306564331,0.001474711112678051,0.9969158172607422,0.0001,0.2,30,-0.005630014392469699
344,11,4096,4,0.039388020833333336,-8.487095157305399,0.04389801345920811,0.0061906846,0.13475966453552246,-0.005159992724657059,0.9942223429679871,0.0001,0.2,45,-0.006214797085461517
369,13,5120,5,0.07057291666666667,-8.456642099221547,0.05145295737311244,0.009253354,0.17011862993240356,0.011718707159161568,0.9868566393852234,0.0001,0.2,60,-0.008848456630948931
379,16,6144,6,0.04453125,-8.42597037156423,0.05826155953885367,0.0064973654,0.1965707540512085,0.00864427350461483,0.9841208457946777,0.0001,0.2,75,-0.007273551509327566
388,18,7168,7,0.09388020833333334,-8.414738901456197,0.06198539650067687,0.007712369,0.21738064289093018,0.0197015218436718,0.983314037322998,0.0001,0.2,90,-0.010534067537325125
401,20,8192,8,0.0466796875,-8.415194578965504,0.0674155440647155,0.006442153,0.23392540216445923,0.009075496345758438,0.9841753840446472,0.0001,0.2,105,-0.00741805070041058
412,22,9216,9,0.054427083333333334,-8.41457402308782,0.06854795239244899,0.00613843,0.2449864149093628,0.010850626975297928,0.9829484820365906,0.0001,0.2,120,-0.0063054041471332315
421,24,10240,10,0.05572916666666667,-8.4073841492335,0.06730960642453283,0.007066258,0.2629905343055725,0.014255363494157791,0.9819567203521729,0.0001,0.2,135,-0.006432768918845492
428,26,11264,11,0.0349609375,-8.401994025707245,0.06811039219610393,0.006547921,0.27661192417144775,-0.016690751537680626,0.980989933013916,0.0001,0.2,150,-0.005294282658724114
429,28,12288,12,0.03470052083333333,-8.38938902616501,0.0680618138362964,0.0061885156,0.29140543937683105,-0.013247277587652206,0.9778962731361389,0.0001,0.2,165,-0.006785562405517946
428,31,13312,13,0.02578125,-8.381682618459065,0.06693741680743794,0.0045126732,0.30490535497665405,0.008380109444260597,0.9790716171264648,0.0001,0.2,180,-0.0035241481421204907
434,32,14336,14,0.0447265625,-8.388854364554087,0.06669463429910441,0.0068398803,0.3110983371734619,0.0015320871025323868,0.9798054695129395,0.0001,0.2,195,-0.0066374252492096275
439,34,15360,15,0.06712239583333333,-8.375201912720998,0.06582444452214986,0.0068706167,0.3333047032356262,-0.014668809249997139,0.9746956825256348,0.0001,0.2,210,-0.008998990122927352
443,36,16384,16,0.06634114583333334,-8.351822626590728,0.06710799238644541,0.008366596,0.35883212089538574,-0.013888826593756676,0.9720665812492371,0.0001,0.2,225,-0.008198205133279164
