time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/clip_fraction,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance,train/loss,train/std,train/learning_rate,train/clip_range,train/n_updates,train/policy_gradient_loss
506,34,17408,17,0.0626953125,-8.58048591017723,0.07554366849362851,0.008938406,0.4512408375740051,-0.02388274297118187,1.010807991027832,0.0001,0.2,160,-0.009424855432007462
512,35,18432,18,0.041796875,-8.57555931210518,0.06617359332740307,0.005960209,0.4879574775695801,-0.004141766577959061,1.0103071928024292,0.0001,0.2,170,-0.0053742310556117445
518,37,19456,19,0.08427734375,-8.57777304649353,0.06593962342012674,0.009042228,0.4927521347999573,-0.02834855206310749,1.01162850856781,0.0001,0.2,180,-0.011654348578304052
524,39,20480,20,0.06455078125,-8.57858765721321,0.06518429617863149,0.0068483995,0.5059239268302917,-0.013073954731225967,1.0102992057800293,0.0001,0.2,190,-0.008465858403360471
529,40,21504,21,0.05107421875,-8.573262763023376,0.06657481025904417,0.0073199347,0.5252511501312256,-0.005235202610492706,1.0101948976516724,0.0001,0.2,200,-0.004810353612992912
533,42,22528,22,0.03603515625,-8.575722688436509,0.059472414571791886,0.006264532,0.5295287370681763,-0.031185755506157875,1.0108472108840942,0.0001,0.2,210,-0.005576744404970668
532,44,23552,23,0.0224609375,-8.579192292690276,0.05929286649916321,0.0040780217,0.5499559044837952,-0.019238822162151337,1.011355996131897,0.0001,0.2,220,-0.004732410266296938
531,46,24576,24,0.0671875,-8.576185250282288,0.05877942454535514,0.006517004,0.5608435273170471,-0.008343648165464401,1.009942889213562,0.0001,0.2,230,-0.00852822297019884
535,47,25600,25,0.028125,-8.577708607912063,0.05429244067054242,0.0052831364,0.5740140676498413,-0.02265244349837303,1.0117181539535522,0.0001,0.2,240,-0.004228572515421547
539,49,26624,26,0.04052734375,-8.586828553676606,0.052780761069152506,0.0068642804,0.5924879312515259,-0.013552192598581314,1.0129649639129639,0.0001,0.2,250,-0.007812231479329057
542,50,27648,27,0.04150390625,-8.594086533784866,0.05147527707740664,0.0060449783,0.6045684218406677,-0.023726871237158775,1.014198660850525,0.0001,0.2,260,-0.004552347576827742
545,52,28672,28,0.05712890625,-8.592465204000472,0.047839563677553085,0.00787733,0.6237616539001465,-0.014399705454707146,1.0123238563537598,0.0001,0.2,270,-0.007513701805146411
548,54,29696,29,0.04052734375,-8.582950234413147,0.046621576766483486,0.0069047064,0.6267017126083374,-0.044610023498535156,1.0112682580947876,0.0001,0.2,280,-0.005045099981362
550,55,30720,30,0.04609375,-8.58040293455124,0.049031530960928646,0.006713759,0.6276556253433228,-0.06766766309738159,1.0112043619155884,0.0001,0.2,290,-0.007433850949746556
548,57,31744,31,0.09677734375,-8.579792988300323,0.04761649324791506,0.008552311,0.6519933342933655,-0.012966275215148926,1.0113588571548462,0.0001,0.2,300,-0.009668151545338333
550,59,32768,32,0.087890625,-8.582720345258712,0.04393152376869693,0.009273966,0.6746242642402649,-0.032696790993213654,1.0119709968566895,0.0001,0.2,310,-0.011601469790912233
553,61,33792,33,0.06259765625,-8.583950102329254,0.045279311982449146,0.00809145,0.6792333126068115,-0.010716047137975693,1.011833906173706,0.0001,0.2,320,-0.007775050241616554
555,62,34816,34,0.05419921875,-8.591844922304153,0.04196954541839659,0.0065460317,0.69731205701828,-0.028739577159285545,1.0149229764938354,0.0001,0.2,330,-0.006663086224580184
558,64,35840,35,0.0501953125,-8.606118446588516,0.0398032643366605,0.0060219243,0.6994986534118652,-0.038218893110752106,1.0164216756820679,0.0001,0.2,340,-0.008224966886336916
560,65,36864,36,0.046484375,-8.608097004890443,0.040088693238794805,0.0061379457,0.714932918548584,-0.0231313593685627,1.0155199766159058,0.0001,0.2,350,-0.00648248007055372
562,67,37888,37,0.0578125,-8.601741135120392,0.039044774044305085,0.007381027,0.7188817262649536,-0.02224065363407135,1.0143905878067017,0.0001,0.2,360,-0.007578124359133654
562,69,38912,38,0.066796875,-8.593545418977737,0.03899324670201167,0.0074273795,0.7102096080780029,-0.02025683969259262,1.012794852256775,0.0001,0.2,370,-0.009299050172558054
560,71,39936,39,0.03642578125,-8.586022901535035,0.034904492617351936,0.0070353574,0.7364054918289185,-0.03491073101758957,1.0115147829055786,0.0001,0.2,380,-0.004938582424074411
562,72,40960,40,0.0443359375,-8.576739382743835,0.03503733926918358,0.005167181,0.7384926080703735,-0.03214535117149353,1.0099552869796753,0.0001,0.2,390,-0.004487125872401521
564,74,41984,41,0.01494140625,-8.567163509130477,0.03448597548995167,0.004384281,0.7515975832939148,-0.028230711817741394,1.0083407163619995,0.0001,0.2,400,-0.002653700363589451
565,75,43008,42,0.033984375,-8.550408494472503,0.03173146075569093,0.005335499,0.7503804564476013,-0.03622554987668991,1.0042303800582886,0.0001,0.2,410,-0.006047456420492381
567,77,44032,43,0.02958984375,-8.529159998893737,0.03201553916442208,0.0054671504,0.7580235004425049,-0.030062686651945114,1.0012116432189941,0.0001,0.2,420,-0.0048256020265398545
568,79,45056,44,0.06435546875,-8.521280497312546,0.03146505035692826,0.0074358885,0.7584509253501892,-0.029851848259568214,1.0016101598739624,0.0001,0.2,430,-0.009494163685303647
570,80,46080,45,0.0533203125,-8.5200066447258,0.02911011810065247,0.0074208854,0.7738086581230164,-0.03142764791846275,1.0007685422897339,0.0001,0.2,440,-0.007219623302808032
568,82,47104,46,0.0291015625,-8.515316557884216,0.03017071253270842,0.005873455,0.7794696092605591,-0.02017471194267273,1.00017511844635,0.0001,0.2,450,-0.004555394174531102
567,84,48128,47,0.04716796875,-8.505501455068588,0.030389891512459143,0.0067328904,0.7777929902076721,-0.054292693734169006,0.9973569512367249,0.0001,0.2,460,-0.006315624437411316
569,86,49152,48,0.0833984375,-8.495745086669922,0.0277869428624399,0.009446498,0.7880710959434509,-0.03516627475619316,0.9970305562019348,0.0001,0.2,470,-0.011035068219644017
570,87,50176,49,0.02919921875,-8.497223097085953,0.02743846625671722,0.0062432853,0.7956037521362305,-0.03160759061574936,0.9977810382843018,0.0001,0.2,480,-0.0037532077345531433
571,89,51200,50,0.0423828125,-8.491742390394212,0.027267884003231303,0.0058114626,0.7903416156768799,-0.03809535130858421,0.9948576092720032,0.0001,0.2,490,-0.005433280766010284
573,91,52224,51,0.0607421875,-8.474634063243865,0.025001994072226807,0.007405488,0.8018501996994019,-0.032188739627599716,0.9927759766578674,0.0001,0.2,500,-0.008146809739992022
574,92,53248,52,0.0814453125,-8.466160011291503,0.024409608187852427,0.008149302,0.8071540594100952,-0.0546816922724247,0.9917502999305725,0.0001,0.2,510,-0.010765458381501957
574,94,54272,53,0.02841796875,-8.461488181352616,0.024618030642159283,0.004948076,0.8104457855224609,-0.02016422152519226,0.9912075996398926,0.0001,0.2,520,-0.005082635037251748
572,96,55296,54,0.02998046875,-8.460058718919754,0.023844805883709342,0.0047461125,0.8139569759368896,-0.040116164833307266,0.9911350607872009,0.0001,0.2,530,-0.0038772235566284508
573,98,56320,55,0.0400390625,-8.455212557315827,0.024164966866374017,0.0050501055,0.8246318101882935,-0.03888022154569626,0.9896066784858704,0.0001,0.2,540,-0.004083315593015868
574,99,57344,56,0.0306640625,-8.45305489897728,0.02472213330329396,0.006033495,0.8279107213020325,-0.03576863557100296,0.9906520843505859,0.0001,0.2,550,-0.00455200448341202
575,101,58368,57,0.09326171875,-8.450149339437484,0.022856820560991763,0.009251922,0.8390462398529053,-0.04781787842512131,0.9885501265525818,0.0001,0.2,560,-0.012028714918415062
576,102,59392,58,0.08056640625,-8.439257270097732,0.02116932746139355,0.007439699,0.8375077843666077,-0.039123229682445526,0.9873226284980774,0.0001,0.2,570,-0.009893250404275022
577,104,60416,59,0.068359375,-8.437024122476577,0.019615414802683518,0.007372668,0.8432656526565552,-0.04424210637807846,0.9875879883766174,0.0001,0.2,580,-0.007904345128918067
578,106,61440,60,0.05361328125,-8.44086052775383,0.018876605166587977,0.007370663,0.8553831577301025,-0.07076263427734375,0.9887261390686035,0.0001,0.2,590,-0.007662457672995515
576,108,62464,61,0.07880859375,-8.441348063945771,0.019766910758335143,0.008655317,0.854114830493927,-0.05928361415863037,0.9873455166816711,0.0001,0.2,600,-0.009917817416135222
576,110,63488,62,0.0791015625,-8.43491832613945,0.018653073377208784,0.008546013,0.8592463731765747,-0.040496766567230225,0.9869171977043152,0.0001,0.2,610,-0.009034201467875392
577,111,64512,63,0.10732421875,-8.430149751901627,0.018092783156316728,0.0096657965,0.8650621175765991,-0.04409901425242424,0.9858276844024658,0.0001,0.2,620,-0.011889928655000404
578,113,65536,64,0.03623046875,-8.418882358074189,0.017437414976302534,0.0075166407,0.876215398311615,-0.039509475231170654,0.9829745292663574,0.0001,0.2,630,-0.005816057696938515
579,114,66560,65,0.0630859375,-8.399295175075531,0.015103678003652022,0.0073676486,0.8858098983764648,-0.03037446364760399,0.9796015620231628,0.0001,0.2,640,-0.008725107507780194
580,116,67584,66,0.0806640625,-8.389133542776108,0.014621029153931885,0.008180376,0.8894082307815552,-0.04751955345273018,0.9797993302345276,0.0001,0.2,650,-0.01063118057209067
581,118,68608,67,0.0642578125,-8.38626487851143,0.014603845722740516,0.006992925,0.8894379138946533,-0.03411555290222168,0.9784414768218994,0.0001,0.2,660,-0.008354018940008246
581,119,69632,68,0.0337890625,-8.372484099864959,0.01400816983077675,0.0057677054,0.8934324979782104,-0.032294757664203644,0.9750072360038757,0.0001,0.2,670,-0.004449092838331126
579,121,70656,69,0.068359375,-8.359888446331023,0.012240387752535753,0.0076228627,0.9052315950393677,-0.041157808154821396,0.9747776389122009,0.0001,0.2,680,-0.00986843668797519
580,123,71680,70,0.0861328125,-8.3603011906147,0.011544026221963577,0.008812858,0.9151726365089417,-0.03964298218488693,0.9750565886497498,0.0001,0.2,690,-0.011134843659237958
581,125,72704,71,0.062109375,-8.354222410917282,0.012353980896295979,0.006389419,0.9092735052108765,-0.03293940797448158,0.9729135632514954,0.0001,0.2,700,-0.009131644648732617
582,126,73728,72,0.07333984375,-8.345958477258682,0.00904801081342157,0.0064415787,0.9241854548454285,-0.054439619183540344,0.9723462462425232,0.0001,0.2,710,-0.009433844592422247
582,128,74752,73,0.06337890625,-8.351892364025115,0.009685418970184401,0.007084587,0.9241666197776794,-0.06562063097953796,0.9749143719673157,0.0001,0.2,720,-0.007592696335632354
583,129,75776,74,0.02744140625,-8.352339643239976,0.008414903937955387,0.0053437264,0.933234453201294,-0.041179001331329346,0.9725322723388672,0.0001,0.2,730,-0.005141868896316737
584,131,76800,75,0.06005859375,-8.339437299966812,0.008324787192395888,0.00750848,0.9348546266555786,-0.030473150312900543,0.971234142780304,0.0001,0.2,740,-0.008071361627662555
583,133,77824,76,0.06953125,-8.335306441783905,0.006484835522132926,0.0057101725,0.9468989968299866,-0.05878283455967903,0.970979630947113,0.0001,0.2,750,-0.008427610746002756
582,135,78848,77,0.0857421875,-8.336046445369721,0.006204493199766148,0.0100788055,0.9487764835357666,-0.044566571712493896,0.9711756706237793,0.0001,0.2,760,-0.01155734887579456
583,136,79872,78,0.08203125,-8.335780763626099,0.0063495104361209085,0.007951897,0.9502278566360474,-0.05285351723432541,0.9711490273475647,0.0001,0.2,770,-0.009905622687074355
583,138,80896,79,0.0470703125,-8.333085656166077,0.007204575926880352,0.0061640735,0.9463193416595459,-0.07467541098594666,0.97048020362854,0.0001,0.2,780,-0.008007175708189606
584,140,81920,80,0.0427734375,-8.32191162109375,0.005789735741564073,0.007195184,0.9569987058639526,-0.03744049742817879,0.9675226211547852,0.0001,0.2,790,-0.005805444621364586
585,141,82944,81,0.07373046875,-8.318542855978013,0.00649223062209785,0.0070759514,0.9511775374412537,-0.031680382788181305,0.9697150588035583,0.0001,0.2,800,-0.010098678717622534
586,143,83968,82,0.08740234375,-8.320323342084885,0.005161375776515343,0.009635229,0.9590482711791992,-0.0640760064125061,0.9679300785064697,0.0001,0.2,810,-0.012278696912107988
586,144,84992,83,0.0896484375,-8.305115967988968,0.0041414060848183,0.008538257,0.9661895036697388,-0.04977419972419739,0.9648399353027344,0.0001,0.2,820,-0.010318751717568376
584,147,86016,84,0.08232421875,-8.291358548402787,0.006403294783376623,0.007762432,0.9437724947929382,-0.0314595066010952,0.9635875821113586,0.0001,0.2,830,-0.008013057746575214
585,148,87040,85,0.0328125,-8.292978459596634,0.003364634075842332,0.0051298854,0.9693253636360168,-0.04674612730741501,0.9654405117034912,0.0001,0.2,840,-0.005222535639768466
585,150,88064,86,0.04833984375,-8.293280452489853,0.004662843953701668,0.0068151793,0.959239661693573,-0.04668968915939331,0.9634122848510742,0.0001,0.2,850,-0.007144907547626644
586,151,89088,87,0.03916015625,-8.28901293873787,0.003833097689494025,0.006575153,0.9670045375823975,-0.05043730512261391,0.9645729064941406,0.0001,0.2,860,-0.00586235572991427
587,153,90112,88,0.058203125,-8.285759383440018,0.0034759356451104393,0.0064462544,0.9698434472084045,-0.04926808178424835,0.9620527625083923,0.0001,0.2,870,-0.008986501157050953
587,155,91136,89,0.03857421875,-8.27883215546608,0.00409711352258455,0.0058659865,0.9651314616203308,-0.05396461859345436,0.962547779083252,0.0001,0.2,880,-0.005490841646678746
588,156,92160,90,0.0521484375,-8.276145404577255,0.0038144129473948853,0.006996661,0.9662553071975708,-0.03948003426194191,0.9610351920127869,0.0001,0.2,890,-0.006744747742777691
587,158,93184,91,0.0478515625,-8.267369878292083,0.0024946194658696185,0.0068645235,0.9785177111625671,-0.05876051262021065,0.9598362445831299,0.0001,0.2,900,-0.007446230712230317
587,160,94208,92,0.07978515625,-8.26142053604126,0.0037209205533144996,0.007902324,0.9691723585128784,-0.04549167677760124,0.9591467380523682,0.0001,0.2,910,-0.01085050986148417
587,162,95232,93,0.075,-8.256742137670518,0.0032213002981734463,0.009028562,0.9724193215370178,-0.06523469090461731,0.9583444595336914,0.0001,0.2,920,-0.010634370177285746
588,163,96256,94,0.0419921875,-8.25627760887146,0.0035937418637331576,0.0062327823,0.9695831537246704,-0.07664189487695694,0.9591084122657776,0.0001,0.2,930,-0.0074402942089363934
588,165,97280,95,0.06474609375,-8.253830593824386,0.002946422986133257,0.0062584653,0.9752612113952637,-0.06812438368797302,0.9574152827262878,0.0001,0.2,940,-0.008285313105443493
589,166,98304,96,0.06611328125,-8.242739999294281,0.002936250899801962,0.0066716904,0.9753897786140442,-0.04791642725467682,0.9556400179862976,0.0001,0.2,950,-0.008979016929515637
589,168,99328,97,0.04599609375,-8.227238428592681,0.0030746363976504655,0.0069705374,0.9731675386428833,-0.0352778322994709,0.9526934623718262,0.0001,0.2,960,-0.0076853462494909765
590,169,100352,98,0.1076171875,-8.212343382835389,0.0039606527119758535,0.010426544,0.9660635590553284,-0.08177489787340164,0.9511308073997498,0.0001,0.2,970,-0.014057628175942227
589,172,101376,99,0.1138671875,-8.203673881292342,0.005031176454212982,0.008724143,0.9573854207992554,-0.08374779671430588,0.9496193528175354,0.0001,0.2,980,-0.014500451704952866
589,173,102400,100,0.0609375,-8.198078829050065,0.002846957774454495,0.0056085074,0.9750780463218689,-0.044228557497262955,0.9496496319770813,0.0001,0.2,990,-0.008083722562878393
589,175,103424,101,0.10390625,-8.189888918399811,0.0038691082547302356,0.008800075,0.9670073986053467,-0.051447052508592606,0.9471502304077148,0.0001,0.2,1000,-0.01305289352312684
590,176,104448,102,0.052734375,-8.180309075117112,0.0024456027647829616,0.006702657,0.9787725806236267,-0.04676109924912453,0.9465370178222656,0.0001,0.2,1010,-0.008004819817142562
590,178,105472,103,0.04873046875,-8.178776144981384,0.003431191417621449,0.0055935513,0.9702253937721252,-0.04840346798300743,0.9462437033653259,0.0001,0.2,1020,-0.006043418365879916
591,180,106496,104,0.065625,-8.17356750369072,0.0036774324616999365,0.0073666843,0.9641236066818237,-0.07942042499780655,0.9449799060821533,0.0001,0.2,1030,-0.010501054307678715
591,181,107520,105,0.06376953125,-8.169433581829072,0.002498037649638718,0.0066361306,0.9761044383049011,-0.05134023353457451,0.945155143737793,0.0001,0.2,1040,-0.009396120015298947
591,183,108544,106,0.09013671875,-8.169172960519791,0.003160466435656417,0.007340202,0.9717283844947815,-0.05321338772773743,0.9445013403892517,0.0001,0.2,1050,-0.0125976473063929
590,185,109568,107,0.05068359375,-8.157163274288177,0.0023673400639381724,0.007857801,0.9785006642341614,-0.061927247792482376,0.9413415789604187,0.0001,0.2,1060,-0.008373691518499982
590,187,110592,108,0.05546875,-8.142487734556198,0.003009431908139959,0.0063921222,0.9729667901992798,-0.05028156563639641,0.9401294589042664,0.0001,0.2,1070,-0.007938190131972079
590,188,111616,109,0.0599609375,-8.1362743973732,0.0027907633455470206,0.0076854643,0.9746570587158203,-0.046634968370199203,0.9392364621162415,0.0001,0.2,1080,-0.008628725592279807
589,191,112640,110,0.07578125,-8.124003368616105,0.0027875573920027818,0.007255304,0.9741300940513611,-0.06041645631194115,0.9362022280693054,0.0001,0.2,1090,-0.009538148407591507
590,192,113664,111,0.08251953125,-8.10863738656044,0.0028920603370352184,0.0066058775,0.9737030267715454,-0.0500025600194931,0.9349450469017029,0.0001,0.2,1100,-0.010992203681962565
590,194,114688,112,0.09609375,-8.098547607660294,0.0020231988142768386,0.009330822,0.9814411997795105,-0.0440153144299984,0.9328486323356628,0.0001,0.2,1110,-0.01287221842794679
590,196,115712,113,0.044140625,-8.088364773988724,0.0027149781839398202,0.006790989,0.9712807536125183,-0.0270577110350132,0.9316332340240479,0.0001,0.2,1120,-0.007685800542822108
589,198,116736,114,0.0607421875,-8.084511578083038,0.002302565035643056,0.008153262,0.9774683117866516,-0.04110454395413399,0.9317988753318787,0.0001,0.2,1130,-0.007137887043791124
589,199,117760,115,0.05869140625,-8.077234560251236,0.002270969313394744,0.007037732,0.9769477844238281,-0.07396211475133896,0.9292407631874084,0.0001,0.2,1140,-0.008582275384105742
590,201,118784,116,0.03935546875,-8.06470746397972,0.0017124788166256622,0.006271595,0.9830275774002075,-0.0537121519446373,0.9279627799987793,0.0001,0.2,1150,-0.004836745854117907
590,202,119808,117,0.10703125,-8.059385561943055,0.0022924511169549076,0.0088781435,0.978293776512146,-0.06646423786878586,0.9278104901313782,0.0001,0.2,1160,-0.013543250306975096
590,204,120832,118,0.0525390625,-8.053322893381118,0.0019448541461315472,0.006473449,0.9809922575950623,-0.04564979672431946,0.9261462092399597,0.0001,0.2,1170,-0.007094478025101126
591,206,121856,119,0.06591796875,-8.04459581375122,0.0031010244187200443,0.0070862435,0.9680298566818237,-0.030582796782255173,0.9255010485649109,0.0001,0.2,1180,-0.009892037315876224
591,207,122880,120,0.0630859375,-8.035399222373963,0.0038415726550738325,0.007981509,0.9615916013717651,-0.0291022676974535,0.9227666854858398,0.0001,0.2,1190,-0.009517855889862403
590,209,123904,121,0.04404296875,-8.023101365566253,0.0024015635732212103,0.006613655,0.9749664068222046,-0.06759432703256607,0.9218376278877258,0.0001,0.2,1200,-0.008962348609929904
590,211,124928,122,0.04462890625,-8.011799782514572,0.0027099391212686897,0.0059488034,0.9719313383102417,-0.05334383249282837,0.9193035960197449,0.0001,0.2,1210,-0.007435597412404604
590,213,125952,123,0.11396484375,-8.001602661609649,0.0021292345714755355,0.009070018,0.9781920313835144,-0.054905783385038376,0.9190854430198669,0.0001,0.2,1220,-0.011315206723520533
590,214,126976,124,0.03486328125,-8.0036392390728,0.0025390169030288234,0.0054131234,0.9717901349067688,-0.04747642204165459,0.9194604754447937,0.0001,0.2,1230,-0.005874554110050667
591,216,128000,125,0.08427734375,-8.00931059718132,0.002569848332495894,0.008441325,0.9711011052131653,-0.04552484676241875,0.9209974408149719,0.0001,0.2,1240,-0.011556224501691758
591,218,129024,126,0.041796875,-8.010810106992722,0.003044025967392372,0.0059223394,0.9650346040725708,-0.05982009321451187,0.9199581742286682,0.0001,0.2,1250,-0.006623604662308935
591,219,130048,127,0.0947265625,-8.000208416581154,0.0022287993662757797,0.00874009,0.9739806056022644,-0.05592399835586548,0.9174573421478271,0.0001,0.2,1260,-0.012553715669491794
591,221,131072,128,0.0693359375,-7.981633937358856,0.0020844262347964105,0.0075677247,0.9729054570198059,-0.07860982418060303,0.9146140217781067,0.0001,0.2,1270,-0.011879362793115434
590,223,132096,129,0.0505859375,-7.957414692640304,0.0029895877916715106,0.0058842427,0.9661166071891785,-0.05826820060610771,0.9103817939758301,0.0001,0.2,1280,-0.009524551905633416
590,225,133120,130,0.07236328125,-7.936548390984536,0.0028923921527166385,0.008431988,0.9651150107383728,-0.06753472983837128,0.9085201621055603,0.0001,0.2,1290,-0.009432435742928647
