Finance Portfolio
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Real Risk Premium,Real Risk Premium
Year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year), Baa Corporate Bond,Real Estate,Gold*,S&P 500 (includes dividends)3,US Small cap (bottom decile) Cum Value,3-month T.Bill4,US T. Bond5,Baa Corporate Bond2,Real Estate2,Gold2,Stocks - Bills,Stocks - Bonds,Small Cap Premium (S&P 500 minus Bottom Decile),Stocks - Baa Corp Bond,Historical ERP,Inflation Rate,S&P 500 (includes dividends)2,US Small cap (bottom decile)22,3-month T. Bill (Real),!0-year T.Bonds,Baa Corp Bonds,Real Estate3,Gold,S&P 500 (includes dividends)3,US Small cap (bottom decile)22,3-month T.Bill4,US T. Bond5,Baa Corporate Bond2,Real Estate2,Gold2,Stocks minus T. Bills,Stocks minus T.Bonds
1937,-35.34%,-53.28%,0.28%,1.38%,-4.42%,2.56%,-0.23%,$94.00,$116.99,$117.11,$142.43,$180.39,$89.98,$168.56,-35.61%,-36.72%,-17.94%,-30.92%,,2.86%,-37.13%,-54.58%,-2.51%,-1.44%,-7.07%,-0.29%,-3.00%,$112.94,$140.55,$140.69,$171.11,$216.72,$108.10,$202.50,-34.62%,-35.70%
1938,29.28%,1.60%,0.07%,4.21%,9.24%,-0.87%,0.17%,$121.53,$118.86,$117.18,$148.43,$197.05,$89.20,$168.85,29.22%,25.07%,-27.68%,20.05%,,-2.78%,32.98%,4.50%,2.92%,7.19%,12.36%,1.96%,3.03%,$150.18,$146.88,$144.80,$183.41,$243.50,$110.22,$208.65,30.05%,25.79%
1939,-1.10%,-5.73%,0.05%,4.41%,7.98%,-1.30%,-1.23%,$120.20,$112.05,$117.24,$154.98,$212.78,$88.04,$166.76,-1.14%,-5.51%,-4.63%,-9.08%,,0.00%,-1.10%,-5.73%,0.05%,4.41%,7.98%,-1.30%,-1.23%,$148.53,$138.47,$144.87,$191.51,$262.94,$108.79,$206.07,-1.14%,-5.51%
1940,-10.67%,-31.81%,0.04%,5.40%,8.65%,3.31%,-1.66%,$107.37,$76.41,$117.28,$163.35,$231.18,$90.95,$164.00,-10.71%,-16.08%,-21.14%,-19.32%,,0.71%,-11.31%,-32.29%,-0.67%,4.65%,7.88%,2.57%,-2.35%,$131.74,$93.75,$143.89,$200.42,$283.65,$111.59,$201.22,-10.63%,-15.96%
1941,-12.77%,-5.54%,0.13%,-2.02%,5.01%,-8.38%,0.00%,$93.66,$72.18,$117.43,$160.04,$242.76,$83.32,$164.00,-12.90%,-10.75%,7.23%,-17.78%,,9.93%,-20.65%,-14.07%,-8.91%,-10.87%,-4.48%,-16.66%,-9.03%,$104.53,$80.56,$131.07,$178.63,$270.95,$93.00,$183.05,-11.74%,-9.78%
1942,19.17%,61.79%,0.34%,2.29%,5.18%,3.33%,0.00%,$111.61,$116.77,$117.83,$163.72,$255.33,$86.10,$164.00,18.83%,16.88%,42.62%,13.99%,,9.03%,9.30%,48.39%,-7.97%,-6.18%,-3.53%,-5.23%,-8.28%,$114.26,$119.54,$120.62,$167.59,$261.38,$88.14,$167.88,17.27%,15.48%
1943,25.06%,137.97%,0.38%,2.49%,8.04%,11.45%,0.00%,$139.59,$277.89,$118.28,$167.79,$275.88,$95.95,$164.00,24.68%,22.57%,112.91%,17.02%,,2.96%,21.47%,131.13%,-2.50%,-0.46%,4.94%,8.24%,-2.87%,$138.78,$276.29,$117.60,$166.83,$274.29,$95.40,$163.06,23.97%,21.92%
1944,19.03%,69.73%,0.38%,2.58%,6.57%,16.58%,0.00%,$166.15,$471.66,$118.73,$172.12,$293.99,$111.87,$164.00,18.65%,16.45%,50.70%,12.46%,,2.30%,16.36%,65.92%,-1.88%,0.27%,4.17%,13.96%,-2.25%,$161.48,$458.41,$115.39,$167.28,$285.73,$108.72,$159.40,18.23%,16.08%
1945,35.82%,91.09%,0.38%,3.80%,6.80%,11.78%,2.54%,$225.67,$901.29,$119.18,$178.67,$313.98,$125.04,$168.17,35.44%,32.02%,55.27%,29.02%,,2.25%,32.84%,86.89%,-1.83%,1.52%,4.45%,9.32%,0.29%,$214.51,$856.72,$113.29,$169.83,$298.45,$118.86,$159.85,34.66%,31.31%
1946,-8.43%,-15.32%,0.38%,3.13%,2.51%,24.10%,0.00%,$206.65,$763.21,$119.63,$184.26,$321.85,$155.18,$168.17,-8.81%,-11.56%,-6.89%,-10.94%,,18.13%,-22.48%,-28.32%,-15.03%,-12.70%,-13.23%,5.05%,-15.35%,$166.28,$614.12,$96.26,$148.26,$258.98,$124.86,$135.32,-7.46%,-9.78%
1947,5.20%,-0.96%,0.60%,0.92%,0.26%,21.26%,0.00%,$217.39,$755.88,$120.35,$185.95,$322.70,$188.17,$168.17,4.60%,4.28%,-6.16%,4.94%,,8.84%,-3.34%,-9.00%,-7.57%,-7.27%,-7.88%,11.42%,-8.12%,$160.72,$558.84,$88.98,$137.48,$238.58,$139.12,$124.33,4.23%,3.93%
1948,5.70%,-0.71%,1.05%,1.95%,3.44%,2.06%,0.00%,$229.79,$750.52,$121.61,$189.58,$333.79,$192.05,$168.17,4.66%,3.75%,-6.41%,2.27%,,2.99%,2.63%,-3.59%,-1.89%,-1.01%,0.43%,-0.91%,-2.90%,$164.95,$538.75,$87.30,$136.09,$239.61,$137.86,$120.72,4.52%,3.64%
1949,18.30%,27.22%,1.12%,4.66%,5.38%,0.09%,-8.70%,$271.85,$954.81,$122.96,$198.42,$351.74,$192.22,$153.54,17.19%,13.64%,8.92%,12.93%,,-2.07%,20.81%,29.92%,3.26%,6.88%,7.61%,2.21%,-6.77%,$199.28,$699.92,$90.14,$145.45,$257.84,$140.91,$112.55,17.55%,13.93%
